,datetime,tempmax,tempmin,temp,humidity,conditions
0,2023-01-01,13.7,8.7,11.4,80.8,"Rain, Overcast"
1,2023-01-02,9.7,5.4,7.3,87.2,"Rain, Overcast"
2,2023-01-03,10.4,1.1,5.6,80.6,"Snow, Rain, Overcast"
3,2023-01-04,1.8,0.1,0.8,83.3,"Snow, Rain, Overcast"
4,2023-01-05,6.4,-5.6,1.2,93.1,"Snow, Rain, Overcast"
5,2023-01-06,-6.6,-12.2,-10.6,77.7,Overcast
6,2023-01-07,-6.2,-11.6,-9.0,81.2,"Snow, Overcast"
7,2023-01-08,-1.3,-5.8,-3.2,85.5,"Snow, Overcast"
8,2023-01-09,0.1,-1.9,-0.9,88.3,Overcast
9,2023-01-10,1.7,0.4,1.4,95.7,"Snow, Rain, Overcast"
10,2023-01-11,1.0,0.0,0.4,93.8,"Snow, Rain, Freezing Drizzle/Freezing Rain, Overcast"
11,2023-01-12,5.1,1.1,2.8,92.4,"Snow, Rain, Overcast"
12,2023-01-13,5.5,3.7,4.7,90.0,"Rain, Overcast"
13,2023-01-14,6.0,4.3,5.2,88.0,"Rain, Overcast"
14,2023-01-15,5.1,3.1,4.2,83.6,"Rain, Overcast"
15,2023-01-16,4.4,1.7,3.3,85.0,"Rain, Partially cloudy"
16,2023-01-17,4.0,0.7,2.6,89.4,"Snow, Rain, Overcast"
17,2023-01-18,2.7,1.0,2.2,93.6,"Snow, Rain, Partially cloudy"
18,2023-01-19,2.7,0.7,1.5,91.5,"Snow, Rain, Overcast"
19,2023-01-20,1.4,-0.7,0.3,93.1,"Snow, Rain, Partially cloudy"
20,2023-01-21,0.4,-0.3,0.1,88.9,Overcast
21,2023-01-22,0.5,-0.6,-0.1,86.5,Overcast
22,2023-01-23,0.0,-1.6,-0.8,78.7,Overcast
23,2023-01-24,-1.6,-2.7,-2.2,74.8,Overcast
24,2023-01-25,-0.6,-2.0,-1.1,88.3,"Snow, Rain, Overcast"
25,2023-01-26,-0.3,-1.9,-1.1,89.2,"Snow, Rain, Overcast"
26,2023-01-27,0.0,-1.0,-0.4,91.7,"Snow, Rain, Overcast"
27,2023-01-28,-0.7,-2.1,-1.4,82.2,Overcast
28,2023-01-29,1.4,-2.0,-0.4,87.7,"Snow, Rain, Overcast"
29,2023-01-30,1.5,0.1,0.9,91.4,"Snow, Rain, Overcast"
30,2023-01-31,3.4,0.7,1.8,83.1,Overcast
31,2023-02-01,1.9,0.0,0.9,91.5,"Snow, Overcast"
32,2023-02-02,1.4,-0.7,0.7,91.8,"Snow, Rain, Overcast"
33,2023-02-03,0.1,-2.6,-1.0,83.6,Partially cloudy
34,2023-02-04,-2.0,-4.0,-2.7,79.4,Overcast
35,2023-02-05,-3.0,-7.5,-5.1,81.3,Partially cloudy
36,2023-02-06,0.4,-7.0,-1.9,84.7,"Snow, Rain, Overcast"
37,2023-02-07,0.5,-2.9,-0.4,81.5,Overcast
38,2023-02-08,1.4,-1.9,-0.1,76.7,Overcast
39,2023-02-09,1.0,-2.0,-0.6,69.6,Partially cloudy
40,2023-02-10,4.0,-1.9,0.7,72.1,"Snow, Rain, Partially cloudy"
41,2023-02-11,4.7,0.0,1.9,86.7,"Snow, Rain, Overcast"
42,2023-02-12,2.7,-3.6,-0.4,80.0,Partially cloudy
43,2023-02-13,4.3,1.1,3.3,91.1,Overcast
44,2023-02-14,7.1,0.0,2.8,77.5,Clear
45,2023-02-15,1.4,-0.4,0.6,95.2,"Rain, Overcast"
46,2023-02-16,1.0,-0.3,0.3,93.1,"Snow, Rain, Overcast"
47,2023-02-17,5.0,0.0,2.3,96.0,"Rain, Overcast"
48,2023-02-18,6.4,1.7,4.0,81.9,"Rain, Partially cloudy"
49,2023-02-19,4.1,0.0,1.5,71.1,Clear
50,2023-02-20,4.5,-2.7,0.2,83.9,"Snow, Rain, Partially cloudy"
51,2023-02-21,4.4,-1.1,2.1,77.1,"Snow, Rain, Overcast"
52,2023-02-22,-1.1,-5.7,-2.3,70.0,"Snow, Partially cloudy"
53,2023-02-23,-0.1,-7.4,-3.4,74.9,Partially cloudy
54,2023-02-24,3.0,-0.6,1.2,90.7,"Snow, Rain, Overcast"
55,2023-02-25,1.5,-1.0,0.4,92.3,"Snow, Rain, Overcast"
56,2023-02-26,-1.5,-2.7,-2.3,73.3,"Snow, Rain, Overcast"
57,2023-02-27,1.0,-4.6,-1.9,69.9,Partially cloudy
58,2023-02-28,2.9,-6.3,-1.0,82.3,"Rain, Partially cloudy"
59,2023-03-01,5.0,0.0,1.9,84.9,"Snow, Rain, Partially cloudy"
60,2023-03-02,6.0,-2.0,1.8,84.1,Partially cloudy
61,2023-03-03,6.0,0.9,2.7,73.9,Partially cloudy
62,2023-03-04,2.4,-1.4,0.7,67.9,"Snow, Rain, Partially cloudy"
