,datetime,tempmax,tempmin,temp,humidity,conditions
0,2023-01-01,8.2,6.7,7.5,92.9,"Rain, Partially cloudy"
1,2023-01-02,7.7,4.7,6.1,95.4,Overcast
2,2023-01-03,7.1,2.0,4.5,85.6,"Snow, Rain, Overcast"
3,2023-01-04,3.0,0.1,2.1,86.7,Overcast
4,2023-01-05,5.5,-5.1,1.1,90.9,"Snow, Rain, Overcast"
5,2023-01-06,-5.5,-9.8,-8.2,71.5,Partially cloudy
6,2023-01-07,-3.9,-8.4,-6.7,86.1,"Snow, Freezing Drizzle/Freezing Rain, Overcast"
7,2023-01-08,3.0,-3.7,0.0,87.3,Overcast
8,2023-01-09,1.0,0.1,0.7,92.9,"Rain, Overcast"
9,2023-01-10,4.6,0.5,2.6,98.4,"Snow, Rain, Overcast"
10,2023-01-11,3.1,1.8,2.5,94.2,Overcast
11,2023-01-12,5.9,2.7,4.3,93.1,"Snow, Rain, Overcast"
12,2023-01-13,5.8,4.3,5.4,95.6,"Rain, Overcast"
13,2023-01-14,5.7,4.6,5.0,90.8,"Rain, Overcast"
14,2023-01-15,5.3,3.7,4.5,90.0,"Rain, Overcast"
15,2023-01-16,4.7,0.9,3.7,85.3,Partially cloudy
16,2023-01-17,3.8,0.6,2.4,90.0,"Snow, Rain, Overcast"
17,2023-01-18,3.7,-0.6,0.9,95.1,"Snow, Rain, Partially cloudy"
18,2023-01-19,3.9,-1.6,1.7,85.7,"Rain, Partially cloudy"
19,2023-01-20,-1.4,-3.8,-2.3,97.8,Overcast
20,2023-01-21,0.7,-2.8,-0.9,81.8,Partially cloudy
21,2023-01-22,-0.3,-2.4,-1.7,85.5,Partially cloudy
22,2023-01-23,-1.6,-5.1,-2.9,88.6,Partially cloudy
23,2023-01-24,2.6,-5.1,-0.1,78.4,Overcast
24,2023-01-25,3.1,1.1,2.6,87.1,Overcast
25,2023-01-26,4.7,1.0,1.8,89.2,"Snow, Rain, Overcast"
26,2023-01-27,1.0,-1.2,0.0,85.6,"Snow, Rain, Partially cloudy"
27,2023-01-28,2.8,-3.8,-0.2,76.4,Partially cloudy
28,2023-01-29,4.1,2.6,3.4,92.0,"Snow, Rain, Overcast"
