,datetime,tempmax,tempmin,temp,humidity,conditions
0,2023-01-01,12.0,7.0,9.9,87.2,"Rain, Overcast"
1,2023-01-02,8.0,3.0,6.1,92.2,"Rain, Partially cloudy"
2,2023-01-03,8.0,1.0,4.9,87.1,"Snow, Rain, Partially cloudy"
3,2023-01-04,1.0,-1.0,-0.4,84.7,"Snow, Rain, Overcast"
4,2023-01-05,2.0,-5.0,-0.5,96.3,"Snow, Rain, Overcast"
5,2023-01-06,-6.0,-16.0,-13.0,81.3,Partially cloudy
6,2023-01-07,-9.0,-15.1,-12.0,79.5,"Snow, Overcast"
7,2023-01-08,-4.0,-9.0,-6.3,90.0,"Snow, Overcast"
8,2023-01-09,-1.1,-4.0,-3.0,90.8,"Snow, Overcast"
9,2023-01-10,1.1,-2.0,0.2,97.2,"Snow, Rain, Overcast"
10,2023-01-11,-1.9,-3.1,-2.6,94.3,"Snow, Rain, Overcast"
11,2023-01-12,1.1,-3.0,-0.7,98.7,"Snow, Rain, Overcast"
12,2023-01-13,3.0,1.9,2.2,97.2,"Rain, Overcast"
13,2023-01-14,4.1,2.0,3.5,96.9,"Rain, Overcast"
14,2023-01-15,4.0,2.0,2.5,91.9,"Snow, Rain, Partially cloudy"
15,2023-01-16,3.0,1.0,2.0,93.9,"Snow, Rain, Overcast"
16,2023-01-17,3.1,0.0,1.8,94.1,"Snow, Rain, Overcast"
17,2023-01-18,6.0,1.0,2.7,96.8,"Snow, Rain, Overcast"
18,2023-01-19,4.0,0.0,1.3,92.0,"Snow, Rain, Overcast"
19,2023-01-20,0.1,-0.9,0.0,96.9,"Snow, Rain, Overcast"
20,2023-01-21,0.1,0.0,0.0,96.4,"Snow, Rain, Overcast"
21,2023-01-22,0.0,-3.0,-0.7,90.9,"Snow, Rain, Overcast"
22,2023-01-23,-1.0,-3.0,-1.7,89.7,"Snow, Rain, Overcast"
23,2023-01-24,-2.0,-4.0,-2.9,84.1,Overcast
24,2023-01-25,-1.0,-4.0,-2.5,90.0,"Snow, Rain, Overcast"
25,2023-01-26,-1.0,-2.0,-1.5,95.5,"Snow, Rain, Overcast"
26,2023-01-27,0.0,-2.0,-1.2,97.0,"Snow, Overcast"
27,2023-01-28,-1.0,-2.9,-1.8,92.1,"Snow, Overcast"
28,2023-01-29,-0.9,-4.0,-2.5,93.3,"Snow, Overcast"
29,2023-01-30,0.1,-1.0,-0.4,96.0,"Snow, Overcast"
30,2023-01-31,1.1,-1.1,0.6,90.1,"Snow, Overcast"
31,2023-02-01,1.0,-1.8,-0.1,95.3,"Snow, Overcast"
32,2023-02-02,1.0,-1.0,0.1,95.7,"Snow, Overcast"
33,2023-02-03,-1.0,-4.0,-2.4,85.4,"Snow, Rain, Partially cloudy"
34,2023-02-04,-3.0,-6.0,-4.3,82.1,"Snow, Overcast"
35,2023-02-05,-4.0,-7.1,-5.1,81.7,"Snow, Overcast"
